id,annotator,start,end,category,class,
arousseau_1641315776319,arousseau,706,726,Syntaxe : Syntagme nominal,unit,
arousseau_1641315789885,arousseau,940,958,Syntaxe : Syntagme nominal,unit,
arousseau_1641315796331,arousseau,1056,1073,Syntaxe : Syntagme nominal,unit,
arousseau_1641315808351,arousseau,1234,1252,Syntaxe : Syntagme nominal,unit,
arousseau_1641315816782,arousseau,1505,1522,Syntaxe : Syntagme nominal,unit,
arousseau_1641315970825,arousseau,1731,1750,Syntaxe : Syntagme nominal,unit,
arousseau_1641316388935,arousseau,76,84,Coréférence : Maillon,unit,
arousseau_1641316474667,arousseau,188,190,Coréférence : Maillon,unit,
arousseau_1641316764472,arousseau,155,161,Coréférence : Maillon,unit,
arousseau_1641316833293,arousseau,220,227,Coréférence : Maillon,unit,
arousseau_1641317281604,arousseau,271,273,Coréférence : Maillon,unit,
arousseau_1641317285929,arousseau,311,318,Coréférence : Maillon,unit,
arousseau_1641317289785,arousseau,363,366,Coréférence : Maillon,unit,
arousseau_1641317292680,arousseau,386,388,Coréférence : Maillon,unit,
arousseau_1641317295291,arousseau,389,401,Coréférence : Maillon,unit,
arousseau_1641317323502,arousseau,536,555,Coréférence : Maillon,unit,
arousseau_1641317330418,arousseau,575,583,Coréférence : Maillon,unit,
arousseau_1641317336465,arousseau,624,639,Coréférence : Maillon,unit,
arousseau_1641317344579,arousseau,682,687,Coréférence : Maillon,unit,
arousseau_1641317352248,arousseau,730,734,Coréférence : Maillon,unit,
arousseau_1641317359251,arousseau,812,821,Coréférence : Maillon,unit,
arousseau_1641317388306,arousseau,930,940,Coréférence : Maillon,unit,
arousseau_1641317392045,arousseau,940,958,Coréférence : Maillon,unit,
arousseau_1641317397151,arousseau,994,999,Coréférence : Maillon,unit,
arousseau_1641317401344,arousseau,1021,1026,Coréférence : Maillon,unit,
arousseau_1641317405337,arousseau,1074,1076,Coréférence : Maillon,unit,
arousseau_1641317416865,arousseau,1166,1174,Coréférence : Maillon,unit,
arousseau_1641317420241,arousseau,1179,1181,Coréférence : Maillon,unit,
arousseau_1641317427540,arousseau,1216,1218,Coréférence : Maillon,unit,
arousseau_1641317432877,arousseau,1263,1268,Coréférence : Maillon,unit,
arousseau_1641317445226,arousseau,1467,1469,Coréférence : Maillon,unit,
arousseau_1641317449155,arousseau,1476,1479,Coréférence : Maillon,unit,
arousseau_1641317461091,arousseau,1540,1543,Coréférence : Maillon,unit,
arousseau_1641317476007,arousseau,1555,1560,Coréférence : Maillon,unit,
arousseau_1641317488168,arousseau,1666,1675,Coréférence : Maillon,unit,
arousseau_1641317592162,arousseau,113,120,Coréférence : Maillon,unit,
arousseau_1641317795397,arousseau,178,182,Coréférence : Maillon,unit,
arousseau_1641317895344,arousseau,1619,1627,Coréférence : Maillon,unit,
arousseau_1641317897850,arousseau,1676,1678,Coréférence : Maillon,unit,
arousseau_1641325854591,arousseau,511,534,Figure : Comparaison,unit,
arousseau_1641325891654,arousseau,1754,1765,Figure : Comparaison,unit,
arousseau_1641317657357,arousseau,1253,1262,Coréférence : Maillon,unit,
arousseau_1641326108193,arousseau,135,155,Figure : Métaphore,unit,
arousseau_1641326258653,arousseau,1370,1391,Figure : Métaphore,unit,
arousseau_1641326655852,arousseau,790,811,Figure : Synecdoque,unit,
arousseau_1641326676378,arousseau,851,893,Figure : Métonymie,unit,
arousseau_1641315639197,arousseau,113,131,Syntaxe : Syntagme nominal,unit,
arousseau_1641315951210,arousseau,1438,1476,Syntaxe : Syntagme nominal,unit,
arousseau_1641317307739,arousseau,448,464,Coréférence : Maillon,unit,
arousseau_1641325876765,arousseau,1216,1252,Figure : Comparaison,unit,
arousseau_1641326008591,arousseau,344,377,Figure : Métaphore,unit,
arousseau_1641326033879,arousseau,682,730,Figure : Métaphore,unit,
arousseau_1641326054233,arousseau,730,767,Figure : Métaphore,unit,
arousseau_1641326118531,arousseau,155,182,Figure : Métaphore,unit,
